,Date,User,Tweet
0,2023-03-06 14:59:36+00:00,Scrapamation1,"@lemonapp_ar tengo un problema con una transferencia y Uds. no responden.
A ver si se ponen los pantalones por favor."
1,2023-03-06 14:59:27+00:00,sgvero,"@lemonapp_ar Hola, desde ayer estoy esperando una transferencia. No me importa de quién es la culpa. Si ustedes no pueden administrar como corresponde y otros si (bancos), ahí esta mi solución, ahora quiero mi dinero!"
2,2023-03-06 14:58:23+00:00,franbeel17,@lemonapp_ar $franbeltramello18
3,2023-03-06 14:57:56+00:00,txbiasz,"@lemonapp_ar @MarcelaConstanz querida marce, podemos darte una nueva oportunidad mientras no vuelvas a repetir aquellos tristes errores que te condenaron. elijo creer que vuelve una nueva marce renovada, que mantendrá la paz y el decoro. bienvenida de nuevo, no nos defraudes: https://t.co/2RwbPUxeeM"
4,2023-03-06 14:53:46+00:00,sgvero,"@lemonapp_ar Bueno, donde se puede acceder para mandar a Coelsa a lpmqlr1000rp y demandar por incautar nuestros bienes por tiempo indefinido?"
6,2023-03-06 14:46:30+00:00,leandroriviello,@lemonapp_ar https://t.co/6ZerjchUU6
7,2023-03-06 14:39:21+00:00,FranciscoBTC_,@yaweeeeeey @lemonapp_ar @buenbit @belo_app @LetsBit_ok lets bit
8,2023-03-06 14:35:03+00:00,InversoBot,"COTIZACION COMPRA-VENTA USDT/ARS: 
@belo_app: 362 / 355

@buenbit: 364.2 / 360.2

@lemonapp_ar: 366.63 / 356.21

@tiendacrypto: 373 / 361

@RipioApp: 373 / 361

@fiwind_io: 364 / 360

@SatoshiTango: 362.91 / 335.29"
9,2023-03-06 14:34:10+00:00,MatiasRiverosOK,@lemonapp_ar $tiredmaty
10,2023-03-06 14:30:03+00:00,InversoBot,"COTIZACION COMPRA-VENTA DAI/ARS: 
@belo_app: 362.22 / 354.82

@buenbit: 364.1 / 360.1

@lemonapp_ar: 366.67 / 356.21

@tiendacrypto: 373 / 360

@RipioApp: 363.03 / 356.51

@fiwind_io: 364 / 360

@SatoshiTango: 363.13 / 335.83"
11,2023-03-06 14:25:49+00:00,srmonoph,"@lemonapp_ar Hola, hace un día  me hicieron una transferencia y no se acredita, que puedo hacer?"
12,2023-03-06 14:14:59+00:00,yaweeeeeey,@FranciscoBTC_ @lemonapp_ar @buenbit @belo_app @LetsBit_ok actualización? :)
13,2023-03-06 14:08:55+00:00,MarianoThomas18,@lemonapp_ar $marianothomasvelazquez
14,2023-03-06 14:06:47+00:00,JuanR2293,@lemonapp_ar Sigue sin acreditarse mí transferencia y NO contestan la app.
15,2023-03-06 14:00:08+00:00,InversoBot,"RENDIMIENTO ANUAL USDT/USDC:
@belo_app: 3.0 %

@buenbit: 2.5 % / 2.5 %

@lemonapp_ar: 2.45 % / 1.62 %

@RipioApp: 8 %

@quantia_io: 0.0 %

@DECRYPTO_la: 9 %

@LetsBit_ok: 3.92 %

@fiwind_io: 3.5 %"
16,2023-03-06 13:44:07+00:00,gonzalodelcampo,@lemonapp_ar $gdelcampo
17,2023-03-06 13:39:16+00:00,JuanAgu37376070,"@lemonapp_ar Pésima atencion al cliente !!! Me bloquearon mi cuenta porque supuestamente no estoy cumpliendo con los términos y condiciones, además no me dejan retirar mi saldo. Es el dinero con el que trabajo y vivo !!! 
Hace 1 semana que estoy esperando"
