,Date,User,Tweet
0,2023-03-06 15:55:10+00:00,shangrila_ar,"Che, dos transferencias desde @mercadopago a @BcoHipotecario no llegan, y una de desde @Santander_Ar a @mercadopago qué anda pasando??? Dónde está la plata??? Casualidad que MP está de receptor y emisor?"
2,2023-03-06 15:52:17+00:00,iCarliie,@CieloDiazz @mercadopago Los odii
4,2023-03-06 15:51:27+00:00,iCarliie,"@mercadopago lindos, cómo quieren que les pague si no me acreditan la transferencia?? Cuando se soluciona esto? Porque si me paso de la fecha, ustedes van a ser los primeros en cobrar los intereses"
5,2023-03-06 15:50:51+00:00,metalmauro,"@ML_Ayuda @Mercadolibre @mercadopago No me han dado solución, he intentado 3 veces y solo cierran el caso.
Pésimo servicio. Los denunciare al Sernac por el delito de apropiación indebida."
7,2023-03-06 15:49:30+00:00,diro7,@CieloDiazz @mercadopago Yo estoy igual y mande banda!
8,2023-03-06 15:48:28+00:00,Nicoasis16,@mercadopago @almafuerteist Ya les escribí por DM.y no tengo respuestas. Les mandé desde WhatsApp la captura de la transferencia y tampoco me solucionan
9,2023-03-06 15:47:24+00:00,lilianadasc,@mercadopago no llegan las transferencias a MP !?
12,2023-03-06 15:47:15+00:00,julivicente13,che @mercadopago ARREGLEN LA APP HIJOS DE PUTA
13,2023-03-06 15:47:09+00:00,Danielcasares,@mercadopago realice transferencia de mi banco a mi MP y la plata salió del banco y no se ve reflejada en la MP.  necesito una solucion
14,2023-03-06 15:46:16+00:00,lilianadasc,@CieloDiazz @mercadopago No llegan
15,2023-03-06 15:45:49+00:00,LuisaBanega,"Señor @mercadopago me devuelve o me deposita mis 21mil pesos por favor que tengo que pagar el alquiler.
Dios hijos que hijos de puta que app de mierda"
17,2023-03-06 15:44:55+00:00,gaston37414753,"@mercadopago avisale a Cabify..  

aguante rappi https://t.co/3mUSx6VB5q"
19,2023-03-06 15:43:46+00:00,Pau7_9,@juliantaffarel @mercadopago Definitivamente si.
21,2023-03-06 15:42:38+00:00,MiluFerrero,"@mercadopago @Ericruzozko @emicuzzilla Ah bueno, tuviste suerte, te contestaron a vos sola 🫠🫠"
24,2023-03-06 15:41:46+00:00,Nicoasis16,"@mercadopago cuando solucionaran el tema de la transferencia. Se tiran la pelota entre todos y nadie da soluciones. Ni COELSA, ni @BancoGalicia . #Paisgeneroso #mercadoladrones"
25,2023-03-06 15:39:46+00:00,Nicoasis16,"@Sub_Angelus @serujio32 @mercadopago @Mercadolibre Según veo es COELSA el problema pero ninguno se responsabiliza. Banco Galicia me dice que está to ok, que espere así que el dinero en el aire."
27,2023-03-06 15:36:54+00:00,ML_Ayuda,"@metalmauro @Mercadolibre @mercadopago Hola, podrás contactarnos por DM desde nuestras cuentas verificadas de Facebook, Instagram y Twitter. Además, contamos con 2 canales de contacto de Mercado Libre y Mercado Pago.

Podrás contactarte con nuestro equipo de soporte, desde aquí: https://t.co/dqAlBf9AfA 
 
Saludos."
29,2023-03-06 15:35:08+00:00,jooonieminie,"@mercadopago @DNDConsumidor @MP_ayuda Si, ya lo hice. Denme una respuesta!"
30,2023-03-06 15:34:30+00:00,matiasdramireez,"@CieloDiazz @mercadopago A mí me pasa lo mismo, a alguno se le soluciono? @mercadopago"
32,2023-03-06 15:32:32+00:00,CervezaLacourt,"@mercadopago @MercadoPagoMex @Mercadolibre @SERNAC @DNDConsumidor @reclamoschile @Nomasabusoscl @clientemolesto Ojo estimados con @mercadopago si tiene que pagar por esta vía, a mi aun no me devuelven mi dinero por una compra que el proveedor estaba sin stock.......estoy con @sernac ......eviten pagar a través de ellos 0 interes en querer dar soluciona los clientees, además de mentirosos."
35,2023-03-06 15:32:08+00:00,majbonazza,@mercadopago hola! Me sale que ya meenviaron una transferencia y no es así.
36,2023-03-06 15:31:57+00:00,jooonieminie,@mercadopago @kafkito @kevindeltc Respondan mínimo. Les mandé por todos lados y nada.
37,2023-03-06 15:30:54+00:00,ValeBellene,@mercadopago @chris_malagoli @MP_ayuda @BancoNacion 🔴 No entren desde ningún enlace ya q pide contraseña m pago 👀👀👀👀👀👁👀👁👀👁👀
38,2023-03-06 15:30:07+00:00,ML_Ayuda,"@metalmauro @Mercadolibre @mercadopago Hola. Para verificar lo sucedido con la devolución del dinero de tu hija, te podrás contactar por DM desde nuestras cuentas verificadas de Facebook, Instagram y Twitter o desde nuestro Portal de Ayuda: https://t.co/ldzMuntEa6

Saludos."
39,2023-03-06 15:29:49+00:00,DamianLizondo2,@CieloDiazz @mercadopago Me pasa lo mismo lpm
40,2023-03-06 15:28:50+00:00,ValeBellene,@mercadopago @chris_malagoli @MP_ayuda @BancoNacion Gracias muy amables
42,2023-03-06 15:28:14+00:00,nancymonzon,"@telerinonline @Uchangeth @mercadopago @MP_ayuda El tema es que no avisaron y ahora la plata la tienen retenida ellos, a vos por suerte no te permitieron transferir."
44,2023-03-06 15:27:55+00:00,vitinadangelo,@Rip1035 @mercadopago Tampoco puedo ingresar
45,2023-03-06 15:25:53+00:00,Rip1035,@mercadopago que pasa que no se puede ingresar o transferir dinero ?
46,2023-03-06 15:25:20+00:00,emicuzzilla,@Ericruzozko @MiluFerrero @mercadopago La atención al cliente de mercado pago es un desastre
48,2023-03-06 15:25:11+00:00,telerinonline,@Uchangeth @nancymonzon @mercadopago @MP_ayuda Recien cuando abri mi homebanking me aclara q no se pueden hacer TRANFERENCIAS a CVU. Sera x eso? https://t.co/oxdhUL48XT
49,2023-03-06 15:24:55+00:00,Nicoasis16,@almafuerteist @mercadopago Me pasó igual. En el mismo horario y nada. En mí caso es Banco Galicia
50,2023-03-06 15:24:12+00:00,emicuzzilla,"@MiluFerrero @mercadopago No solo que no te avisan, sino que se lavan las manos informándote que el inconveniente es del otro banco! Increíble"
52,2023-03-06 15:21:45+00:00,witchscorpionn,Hola @mercadopago en el dia de ayer me auto transferi plata a mi cuenta de MP y todavia no la veo disponible. Como podemos hacer para visualizarla?
