,Date,User,Tweet
0,2023-03-06 15:48:07+00:00,lilianadasc,@MP_ayuda no llegan las transferencias a MP
4,2023-03-06 15:35:08+00:00,jooonieminie,"@mercadopago @DNDConsumidor @MP_ayuda Si, ya lo hice. Denme una respuesta!"
8,2023-03-06 15:30:54+00:00,ValeBellene,@mercadopago @chris_malagoli @MP_ayuda @BancoNacion 🔴 No entren desde ningún enlace ya q pide contraseña m pago 👀👀👀👀👀👁👀👁👀👁👀
9,2023-03-06 15:28:50+00:00,ValeBellene,@mercadopago @chris_malagoli @MP_ayuda @BancoNacion Gracias muy amables
10,2023-03-06 15:28:14+00:00,nancymonzon,"@telerinonline @Uchangeth @mercadopago @MP_ayuda El tema es que no avisaron y ahora la plata la tienen retenida ellos, a vos por suerte no te permitieron transferir."
11,2023-03-06 15:27:00+00:00,MP_ayuda,"@MarceloSibelli Hola, podrás contactarnos por DM desde nuestras cuentas verificadas de Facebook, Instagram y Twitter. Además, contamos con 2 canales de contacto de Mercado Libre y Mercado Pago.

Podrás contactarte con nuestro equipo de soporte, desde acá: https://t.co/wvEJtIKxKb 
 
Saludos."
12,2023-03-06 15:25:11+00:00,telerinonline,@Uchangeth @nancymonzon @mercadopago @MP_ayuda Recien cuando abri mi homebanking me aclara q no se pueden hacer TRANFERENCIAS a CVU. Sera x eso? https://t.co/oxdhUL48XT
14,2023-03-06 15:17:43+00:00,ValeBellene,@solorepublicaMM @mercadopago @MP_ayuda @BancoNacion Claa pero no podés ingresar dinero desde algunos Bancos
15,2023-03-06 15:17:03+00:00,MP_ayuda,"@GastonBasoka Hola. Para verificar lo sucedido con tu transferencia, te podrás contactar por DM desde nuestras cuentas verificadas de Facebook, Instagram y Twitter o desde nuestro Portal de Ayuda: https://t.co/K5K9ICdDo5 

Saludos."
16,2023-03-06 15:12:57+00:00,DIEGO_FILOMENA,"@MP_ayuda Cuá es el inconveniente con los bancos que no podemos recibir y/o hacer transferencias!?!?!?!?!?

Respondan!!!!!!!!!"
17,2023-03-06 15:10:05+00:00,MP_ayuda,"@DesarrNeg Hola. Para verificar lo sucedido con el acceso a tu cuenta, te podrás contactar por DM desde nuestras cuentas verificadas de Facebook, Instagram y Twitter.

Saludos."
18,2023-03-06 14:58:45+00:00,ValeBellene,@DChamorro89 @mercadopago @MP_ayuda @BancoNacion La cuenta oficial es la q subí cualquier otra es fraude
