,Date,User,Tweet
1,2023-03-06 15:21:06+00:00,GeorgiGaveglio,"@NaranjaX el tema no es pagarlo por el homebancking, el tema es que su app no anda, ahora directamente no me muestra para pagar. Un desastre"
5,2023-03-06 15:15:04+00:00,taru_commongirl,@NaranjaX no puedo registrarme en la app y ahora no me dejan entrar desde la web! Quiero ver mi resumen porque no me llegó y el anterior había cargos que no correspondían
7,2023-03-06 15:13:30+00:00,Shirsabi,@NaranjaX Si hablenme por privado por favor.
9,2023-03-06 15:10:47+00:00,JesoLedesma,@NaranjaX Ya les mande msj ! Ya me prometieron q me lo iba a solucionar y nada fíjense ustedes en los msj q nos mandamos y soluciónenlo
13,2023-03-06 15:04:58+00:00,smutsipou,@NaranjaX @ConsumidorPba Estoy esperando…
15,2023-03-06 15:00:47+00:00,FrancodfOk,@NaranjaX no recibi respuesta
16,2023-03-06 14:59:40+00:00,smutsipou,@NaranjaX @ConsumidorPba Esto es atención personalizada ? https://t.co/1BrxtICdbi
17,2023-03-06 14:58:38+00:00,AldiSaladino,@NaranjaX pedi tarjeta de DEBITO y me mandaron de CREDITO. Tan mal se puede comenzar una relacion comercial?
18,2023-03-06 14:58:10+00:00,smutsipou,"@NaranjaX No dice que hay demora,directamente mandan a la app y en el Dm atiende un bot 
Así cuidan los clientes ?"
22,2023-03-06 14:47:50+00:00,ines_maria4,@NaranjaX Ya les mandé por eso publique el desastre de la demora
23,2023-03-06 14:47:43+00:00,Shirsabi,@NaranjaX necesito que me solucionen un problema
27,2023-03-06 14:39:49+00:00,AleePurita,"@NaranjaX @republicadoida @BAconsumidor Nadie me respondió, quiero solución inmediata ."
28,2023-03-06 14:39:34+00:00,DNDConsumidor,@Aiorias26 @NaranjaX @MindefArg ¡Hola! Podés hacer tu reclamo acá → https://t.co/UqYjS3aAGI. Recordá que nuestra cuenta oficial tiene un tilde azul verificador e ignorá los mensajes de las que no lo tengan.
30,2023-03-06 14:38:49+00:00,CrisFulanitoOK,@NaranjaX Hablar con el bot NO ME SOLUCIONA NADA. YA PASARON 72 HORAS DE LA CARGA. SON UNAS RATAS! UNA VERGÜENZA!
33,2023-03-06 14:25:56+00:00,FrancodfOk,@NaranjaX hola no responden les escribi y nada
34,2023-03-06 14:24:35+00:00,marielsoria,"@NaranjaX Cada vez menos formas de pago. Todo complicado. Y no, no quiero ayuda con la app porque jamás me dan una solución. Es una porquería"
35,2023-03-06 14:22:28+00:00,melinamasnatta,"Fui invitada a ser parte de “Convivimos” @NaranjaX junto a 7 mujeres que con nuestro ser/hacer expandimos posibilidades en ámbitos que van desde el fútbol, hasta las ciencias ➡@marirrovarela @inesdelossantos @PaulaSonnenfeld @MayorgaDoc @FFlexerCEO @FantiCecilia @florCayrolmdp https://t.co/HMLCNj6Bmm"
36,2023-03-06 14:21:38+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden"
37,2023-03-06 14:21:15+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden"
38,2023-03-06 14:20:38+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden."
41,2023-03-06 14:19:05+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden."
42,2023-03-06 14:18:39+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden."
46,2023-03-06 14:16:27+00:00,EliasCanto_sn,"@NaranjaX Me pueden hacer el favor de Atenderme el telefono?
Hice una transferencia el sabado, El primer problema es que se TRIPLICÓ, osea que salio 3 veces, y el segundo problema es que me las rechazaron pero nunca se reembolso el dinero. Estoy llamando y no atienden."
48,2023-03-06 14:14:37+00:00,marcelo17281859,@NaranjaX No quiero hablar con Nixi
50,2023-03-06 14:14:16+00:00,DNDConsumidor,@LCDSPOT @NaranjaX @Santander_Ar @BAconsumidor ¡Hola! Podés hacer tu reclamo acá → https://t.co/UqYjS3aAGI. Recordá que nuestra cuenta oficial tiene un tilde azul verificador e ignorá los mensajes de las que no lo tengan.
52,2023-03-06 14:12:19+00:00,marcelo17281859,@NaranjaX Ya lo hice y cuando me van a contestar??
58,2023-03-06 14:07:44+00:00,AleePurita,Sigo sin acceso a mi app y a mi dinero @NaranjaX @BAconsumidor quiero arruinar a estos ladrones.
61,2023-03-06 14:07:25+00:00,carloslovey,@NaranjaX dinero..solucionen
62,2023-03-06 14:07:14+00:00,fedemurisasco,"@NaranjaX en algún momento responden el WhatsApp? Hay que ir a una sucursal para que te atiendan? 
Media pila ni Afip tarda tanto en responder"
65,2023-03-06 14:04:34+00:00,smutsipou,"@NaranjaX Mentira! Acabo de volver a llamar,la opción hablar con un operador y me vuelven a poner el menú q vaya a la app.
@ConsumidorPba"
66,2023-03-06 14:04:24+00:00,marielsoria,Qué cosa del mal es Tarjeta Naranja. Ahora resulta que no te reciben pagos en Rapipago y la app @NaranjaX jamás funciona. Ya me harté de reclamar
68,2023-03-06 14:03:31+00:00,EmiVeron,@NaranjaX Si les mande DM pero no me contestaron. Podrían chequearlo? Gracias
70,2023-03-06 13:58:16+00:00,ferge85,@NaranjaX Real
77,2023-03-06 13:41:35+00:00,arrobagostina,"Quiero pagar con débito inmediato y no se puede @NaranjaX , odio tener que esperar 80 días a qué se debite del banco 🤦🤦🤦🤦 https://t.co/OtOfl5qNKx"
83,2023-03-06 13:35:50+00:00,davidamin789,@NaranjaX Ahí te envié
84,2023-03-06 13:35:45+00:00,npersa09,"@NaranjaX Dale, buenísimo"
89,2023-03-06 13:33:00+00:00,davidamin789,"@NaranjaX Desde ayer a la tarde que no se puede ingresar a la app .... 
Ya es hora de sacar Windows 98 y hacer una buena inversión ...."
91,2023-03-06 13:31:27+00:00,luulamae,acreditame el pago @NaranjaX estamos en el 2023 y todavia demoran 72 horas? no se le hace eso a la persona con ansiedad
92,2023-03-06 13:31:01+00:00,GeorgiGaveglio,"@NaranjaX Hola es que quiero pagar con débito o vía transferencia, otra opción no tengo, que se hace ene se caso???"
93,2023-03-06 13:28:47+00:00,npersa09,Cuando me van a devolver la tarasca @NaranjaX ?
